"BC","OriginalName","UpdatedName","species","kingdom_unite","phylum_unite","class_unite","order_unite","family_unite","genus_unite","species_unite","SH_unite"
50,"Candida_catenulata","Diutina_catenulata","Diutina catenulata","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Diutina","Diutina catenulata","SH1001553.10FU"
51,"Candida_dublinsiensis","Candida_dubliniensis","Candida dubliniensis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida dubliniensis","SH1000246.10FU"
52,"Candida_glabrata","Nakaseomyces_glabratus","Nakaseomyces glabratus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Nakaseomyces","Nakaseomyces glabratus","SH0863793.10FU"
53,"Candida_metapsilosis","Candida_metapsilosis","Candida metapsilosis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida metapsilosis","SH0888959.10FU"
54,"Candida_orthopsilosis","Candida_orthopsilosis","Candida orthopsilosis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida orthopsilosis","SH0888959.10FU"
55,"Candida_parapsilosis","Candida_parapsilosis","Candida parapsilosis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida parapsilosis","SH0888959.10FU"
56,"Candida_tropicalis","Candida_tropicalis","Candida tropicalis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida tropicalis","SH0950000.10FU"
57,"Candid_zeylanoides","Candida_zeylanoides","Candida zeylanoides","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida zeylanoides","SH0887040.10FU"
58,"Cryptococcus_albidus","Naganishia_albida","Naganishia albida","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia albida","SH0965573.10FU"
59,"Cryptococcus_gattil_VG_I","Cryptococcus_gattii_VG_I","Cryptococcus gattii","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus gattii","SH0958840.10FU"
60,"Cryptococcus_gattii_VG_III","Cryptococcus_gattii_VG_III","Cryptococcus gattii","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus gattii","SH0958840.10FU"
61,"Cryptococcus_neoformans_VNI","Cryptococcus_neoformans_VNI","Cryptococcus neoformans","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus neoformans","SH0958840.10FU"
62,"Cryptococcus_neoformans_VN_IIII","Cryptococcus_neoformans_VN_IIII","Cryptococcus neoformans","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus neoformans","SH0958840.10FU"
63,"Fusarium_proliferatum","Fusarium_proliferatum","Fusarium proliferatum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium proliferatum","SH0731064.10FU"
64,"Galactomyces_geotrichum","Geotrichum_candidum","Geotrichum candidum","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum candidum","SH1008800.10FU"
65,"Geotrichum_candidum","Geotrichum_candidum","Geotrichum candidum","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum candidum","SH1008800.10FU"
66,"Kluyveromyces_lactis","Kluyveromyces_lactis","Kluyveromyces lactis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kluyveromyces","Kluyveromyces lactis","SH0930295.10FU"
67,"Kluyveromyces_marxianus","Kluyveromyces_marxianus","Kluyveromyces marxianus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kluyveromyces","Kluyveromyces marxianus","SH0930310.10FU"
68,"Kodamaea_ohmeri","Kodamaea_ohmeri","Kodamaea ohmeri","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Kodamaea","Kodamaea ohmeri","SH0764428.10FU"
69,"Meyerozyma_guillermondii","Meyerozyma_guilliermondii","Meyerozyma guilliermondii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma","Meyerozyma guilliermondii","SH0887053.10FU"
70,"Nakazawaea_ernobil","Nakazawaea_ernobii","Nakazawaea ernobii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Nakazawaea","Nakazawaea ernobii","SH0750342.10FU"
71,"Penicillium_chrysogenum","Penicillium_chrysogenum","Penicillium chrysogenum","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium chrysogenum","SH0939544.10FU"
